CREATED_DATE	ORDER_ID	PERFORMER	CATEGORY	DURATION	QUALITY	DELIVERY_TIME	ORDER_STATE	UPLOAD_VIDEO	Performer_TOTAL	C4U_commission	Gross_Total	created_at	updated_at
Thu, 10/10/2013 - 18:59	2219	Goddess Jennifer	Humiliation	5 minutes	High Definition	Express (up to 3 days)	Completed	Uploaded	$75.00	$26.00	$101.00		
Thu, 10/10/2013 - 17:22	2209	Siren Thorn	Foot Slave Training	5 minutes	High Definition	Premium (7 days)	Completed	Uploaded	$75.00	$26.00	$101.00		
Thu, 10/10/2013 - 17:14	2208	Ruby Summers	Ignore	5 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$60.00	$21.00	$81.00		
Thu, 10/10/2013 - 15:33	2206	Princess Jennifer	Tease & Denial	10 minutes	High Definition	Standard (14 days)	Completed	Uploaded	$150.00	$53.00	$203.00		
Thu, 10/10/2013 - 13:52	2204	Becky Dee	Ass Worship	15 minutes	Standard Definition	Express (up to 3 days)	Completed	Uploaded	$85.00	$30.00	$115.00		
Thu, 10/10/2013 - 10:12	2196	Nikki Delano	Tease & Denial	5 minutes	Standard Definition	Standard (14 days)	Completed	Not Uploaded	$55.55	$19.00	$75.00		
Thu, 10/10/2013 - 10:03	2195	Goddess Bossy	Humiliation	Instagram (15 Seconds)	Instagram	Next Day (Up to 24 Hours)	Completed	Not Uploaded	$25.00	$9.00	$34.00		
Thu, 10/10/2013 - 04:27	2188	Amyleen Moore	Scent	5 minutes	Standard Definition	Express (up to 3 days)	Completed	Uploaded	$60.00	$21.00	$81.00		
Wed, 09/10/2013 - 22:30	2180	Ruby Summers	Chastity	15 minutes	Standard Definition	Standard (14 days)	Completed	Not Uploaded	$100.00	$35.00	$135.00		
Wed, 09/10/2013 - 20:34	2174	Kandi Kay	Financial Domination	5 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$75.00	$26.00	$101.00		
Wed, 09/10/2013 - 12:28	2165	Princess Samantha	Small Penis Humiliation	5 minutes	Standard Definition	Premium (7 days)	Completed	Uploaded	$75.00	$26.00	$101.00		
Wed, 09/10/2013 - 10:30	2161	Kitty Lea	Foot Worship	10 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$100.00	$35.00	$135.00		
Wed, 09/10/2013 - 10:22	2160	Caty Cole	Ass Worship	5 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$110.59	$39.00	$149.00		
Tue, 08/10/2013 - 20:47	2142	Charlie Z	Ass Worship	10 minutes	Standard Definition	Express (up to 3 days)	Completed	Uploaded	$85.00	$30.00	$115.00		
Tue, 08/10/2013 - 12:31	2125	Sophia Lares	Tit Worship	5 minutes	High Definition	Standard (14 days)	Completed	Uploaded	$89.99	$31.00	$121.00		
Tue, 08/10/2013 - 07:54	2121	Megan Coxxx	Ass Worship	15 minutes	Standard Definition	Express (up to 3 days)	Completed	Not Uploaded	$140.00	$49.00	$189.00		
Fri, 04/10/2013 - 11:58	1973	Brie Taylor	Boy-Girl	30 minutes	Standard Definition	Express (up to 3 days)	Completed	Uploaded	$80.00	$28.00	$108.00		
Tue, 08/10/2013 - 04:54	2115	Goddess Alexis	Foot Worship	10 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$70.00	$25.00	$95.00		
Tue, 08/10/2013 - 04:27	2113	Cheyenne Jewel	Femdom POV	5 minutes	Standard Definition	Standard (14 days)	Completed	Not Uploaded	$50.00	$18.00	$68.00		
Tue, 08/10/2013 - 03:54	2111	Mistress B	Humiliation	Instagram (15 Seconds)	Instagram	Next Day (Up to 24 Hours)	Completed	Uploaded	$10.00	$4.00	$14.00		
Tue, 08/10/2013 - 02:12	2109	Kitty Lea	Glamour / Implied Nude	10 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$250.00	$88.00	$338.00		
Mon, 07/10/2013 - 21:44	2098	Goddess Jessica	Financial Domination	10 minutes	High Definition	Express (up to 3 days)	Completed	Uploaded	$150.00	$53.00	$203.00		
Mon, 07/10/2013 - 16:52	2089	Jessika Jinx	Boy-Girl	10 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$260.00	$91.00	$351.00		
Mon, 07/10/2013 - 15:15	2084	Amy Lu	Jerk Off Instruction	15 minutes	Standard Definition	Premium (7 days)	Completed	Uploaded	$82.50	$29.00	$111.00		
Mon, 07/10/2013 - 04:28	2071	Snobby Alexa	Humiliation	5 minutes	Standard Definition	Premium (7 days)	Completed	Uploaded	$75.00	$26.00	$101.00		
Mon, 07/10/2013 - 01:01	2066	Sophia Lares	Flirt	10 minutes	Standard Definition	Express (up to 3 days)	Completed	Uploaded	$184.99	$65.00	$250.00		
Mon, 07/10/2013 - 00:46	2065						Completed	Not Uploaded	$60.00	$21.00	$81.00		
Sun, 06/10/2013 - 18:29	2052	Charlotte Elizabeth	Pantyhose / Stockings	10 minutes	Standard Definition	Standard (14 days)	Completed	Not Uploaded	$80.00	$28.00	$108.00		
Sun, 06/10/2013 - 18:29	2052	Sparkly Hot	Pantyhose Fetish	10 minutes	High Definition	Premium (7 days)	Completed	Uploaded	$80.00	$28.00	$108.00		
Sun, 06/10/2013 - 21:35	2063	Goddess Alexis	Forced Fem	15 minutes	High Definition	Express (up to 3 days)	Completed	Uploaded	$135.00	$47.00	$182.00		
Sun, 06/10/2013 - 21:33	2062	Riley Stewart	Jerk Off Instruction	5 minutes	Standard Definition	Express (up to 3 days)	Completed	Uploaded	$60.00	$21.00	$81.00		
Sun, 06/10/2013 - 19:59	2058	Abbey Barnsley	Flirt	5 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$77.40	$27.00	$104.00		
Sun, 06/10/2013 - 19:39	2056	Mikaela Witt	Flirt	5 minutes	Standard Definition	Express (up to 3 days)	Completed	Uploaded	$110.00	$39.00	$149.00		
Sun, 06/10/2013 - 18:58	2054	GoddessNO	Femdom POV	5 minutes	High Definition	Standard (14 days)	Completed	Not Uploaded	$150.00	$53.00	$203.00		
Sun, 06/10/2013 - 04:19	2034	Goddess Lola Lux	Small Penis Humiliation	Instagram (15 Seconds)	Instagram	Next Day (Up to 24 Hours)	Completed	Uploaded	$7.00	$2.00	$9.00		
Sat, 05/10/2013 - 23:08	2027	Goddess Jessica	Tease & Denial	5 minutes	High Definition	Standard (14 days)	Completed	Uploaded	$50.00	$18.00	$68.00		
Sat, 05/10/2013 - 17:41	2015	Goddess Raven	Foot Slave Training	10 minutes	High Definition	Standard (14 days)	Completed	Uploaded	$200.00	$70.00	$270.00		
Sat, 05/10/2013 - 10:53	2003	Goddess Lola Lux	Small Penis Humiliation	Instagram (15 Seconds)	Instagram	Next Day (Up to 24 Hours)	Completed	Uploaded	$7.00	$2.00	$9.00		
Sat, 05/10/2013 - 10:42	2002	Gemma Jane	Foot Worship	5 minutes	High Definition	Standard (14 days)	Completed	Uploaded	$160.59	$56.00	$217.00		
Sat, 05/10/2013 - 09:52	2000	Queen Kasey	Femdom POV	5 minutes	Standard Definition	Standard (14 days)	Completed	Not Uploaded	$75.00	$26.00	$101.00		
Sat, 05/10/2013 - 09:47	1999	Goddess Randy Moore				Standard (14 days)	Completed	Not Uploaded	$75.00	$26.00	$101.00		
Sat, 05/10/2013 - 08:05	1998	Goddess Randi	Femdom POV	5 minutes	Standard Definition	Standard (14 days)	Completed	Not Uploaded	$75.00	$26.00	$101.00		
Sat, 05/10/2013 - 07:57	1997	Princess Jeanie	Femdom POV	5 minutes	Standard Definition	Standard (14 days)	Completed	Not Uploaded	$75.00	$26.00	$101.00		
Sat, 05/10/2013 - 07:57	1997	Queen Kasey	Femdom POV	5 minutes	Standard Definition	Standard (14 days)	Completed	Not Uploaded	$75.00	$26.00	$101.00		
Sat, 05/10/2013 - 07:57	1997	Goddess Randi	Femdom POV	5 minutes	Standard Definition	Standard (14 days)	Completed	Not Uploaded	$75.00	$26.00	$101.00		
Sat, 05/10/2013 - 05:50	1995	Paige Green	Foot Worship	5 minutes	Standard Definition		Completed	Not Uploaded	$85.00	$30.00	$115.00		
Sat, 05/10/2013 - 00:25	1991	Sophia Lares	Tit Worship	10 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$134.99	$47.00	$182.00		
Fri, 04/10/2013 - 17:32	1984	Carla Brown	Financial Domination	15 minutes	Standard Definition	Express (up to 3 days)	Completed	Uploaded	$160.00	$56.00	$216.00		
Fri, 04/10/2013 - 16:35	1979	Princess Ellie	Jerk Off Instruction	15 minutes	High Definition	Premium (7 days)	Completed	Uploaded	$160.00	$56.00	$216.00		
Fri, 04/10/2013 - 13:01	1975	Katie K	Jerk Off Instruction	10 minutes	Standard Definition	Premium (7 days)	Completed	Not Uploaded	$90.00	$32.00	$122.00		
Fri, 04/10/2013 - 11:13	1970	Goddess Alexis	Femdom POV	10 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$75.00	$26.00	$101.00		
Fri, 04/10/2013 - 09:15	1968	Lola Foxx	Ass Worship	5 minutes	Standard Definition	Standard (14 days)	Completed	Not Uploaded	$55.55	$19.00	$75.00		
Fri, 04/10/2013 - 09:12	1967	Princess Ellie	Jerk Off Instruction	5 minutes	High Definition	Standard (14 days)	Completed	Uploaded	$50.00	$18.00	$68.00		
Fri, 04/10/2013 - 07:35	1961	Gemma Hiles	Femdom POV	10 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$165.87	$58.00	$224.00		
Fri, 04/10/2013 - 01:51	1952	Randy Moore	Jerk Off Instruction	10 minutes	High Definition	Premium (7 days)	Completed	Uploaded	$145.00	$51.00	$196.00		
Thu, 03/10/2013 - 18:20	1940	Princess Perfection	Foot Slave Training	5 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$100.00	$35.00	$135.00		
Thu, 03/10/2013 - 18:10	1939	Sophia Lares	Jerk Off Instruction	5 minutes	Standard Definition	Premium (7 days)	Completed	Uploaded	$102.40	$36.00	$138.00		
Thu, 03/10/2013 - 07:32	1929	Hellen Roxx	Humiliation	5 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$40.00	$14.00	$54.00		
Thu, 03/10/2013 - 07:21	1928	Goddess Lola Lux	Humiliation	5 minutes	Standard Definition	Standard (14 days)	Completed	Not Uploaded	$50.00	$18.00	$68.00		
Thu, 03/10/2013 - 02:00	1923	Brie Taylor	Cum Eating Instruction	5 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$10.00	$4.00	$14.00		
Wed, 02/10/2013 - 14:10	1901	Sophia Lares	Jerk Off Instruction	5 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$77.40	$27.00	$104.00		
Wed, 02/10/2013 - 14:09	1900	Fernanda Ferrari	Tit Worship	10 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$165.87	$58.00	$224.00		
Wed, 02/10/2013 - 01:25	1888	Adele Taylor	Glamour / Implied Nude	15 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$165.87	$58.00	$224.00		
Tue, 01/10/2013 - 18:28	1875	Ruby Summers	Small Penis Humiliation	5 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$60.00	$21.00	$81.00		
Mon, 30/09/2013 - 23:01	1857	Holly Mcguire	Jerk Off Instruction	15 minutes	Standard Definition	Next Day (up to 24 hours)	Completed	Uploaded	$130.00	$46.00	$176.00		
Mon, 30/09/2013 - 20:35	1854	The Egyptian Goddess	Foot Worship	5 minutes	Standard Definition	Standard (14 days)	Completed	Not Uploaded	$30.00	$11.00	$41.00		
Mon, 30/09/2013 - 18:02	1852	Mikaela Witt	Flirt	5 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$100.00	$35.00	$135.00		
Sun, 29/09/2013 - 20:05	1812	Kandi Kay	Jerk Off Instruction	15 minutes	Standard Definition	Standard (14 days)	Completed	Not Uploaded	$350.00	$123.00	$473.00		
Sun, 29/09/2013 - 17:59	1808	Olivia Berzinc	Smoking	5 minutes	Standard Definition	Standard (14 days)	Completed	Not Uploaded	$95.00	$33.00	$128.00		
Sun, 29/09/2013 - 17:19	1806	Paige Green	Leather / Latex / PVC	10 minutes	Standard Definition	Standard (14 days)	Completed	Not Uploaded	$95.00	$33.00	$128.00		
Sun, 29/09/2013 - 12:04	1799	Raaka Shock	Foot Slave Training	5 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$18.00	$6.00	$24.00		
Sun, 29/09/2013 - 10:05	1797	Paige Green	Foot Worship	5 minutes	Standard Definition		Completed	Not Uploaded	$85.00	$30.00	$115.00		
Sun, 29/09/2013 - 09:59	1796	The Egyptian Goddess	Femdom POV	5 minutes	Standard Definition	Standard (14 days)	Completed	Not Uploaded	$30.00	$11.00	$41.00		
Sun, 29/09/2013 - 09:24	1795	Jasmine Jones	Femdom POV	5 minutes	Standard Definition	Premium (7 days)	Completed	Uploaded	$50.00	$18.00	$68.00		
Sun, 29/09/2013 - 08:54	1792	Charley Atwell	Jerk Off Instruction	5 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$70.00	$25.00	$95.00		
Sun, 29/09/2013 - 03:05	1780	Mistress B	Jerk Off Instruction	5 minutes	Standard Definition	Premium (up to 7 days)	Completed	Uploaded	$50.00	$18.00	$68.00		
Sat, 28/09/2013 - 20:24	1766	Princess Jennifer	Financial Domination	10 minutes	High Definition	Standard (14 days)	Completed	Uploaded	$150.00	$53.00	$203.00		
Sat, 28/09/2013 - 12:55	1754	Adele Taylor	Glamour / Implied Nude	5 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$77.40	$27.00	$104.00		
Sat, 28/09/2013 - 09:58	1745	Lucy Zara	Smoking	10 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$250.00	$88.00	$338.00		
Sat, 28/09/2013 - 08:06	1743	Natalia Forrest	Masturbation	10 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$140.00	$49.00	$189.00		
Fri, 27/09/2013 - 18:03	1719	Jennifer Jade	Pantyhose / Stockings	10 minutes	Standard Definition	Premium (7 days)	Completed	Uploaded	$130.00	$46.00	$176.00		
Fri, 27/09/2013 - 16:08	1714	Sophia Lares	Small Penis Humiliation	5 minutes	Standard Definition	Premium (7 days)	Completed	Uploaded	$102.40	$36.00	$138.00		
Fri, 27/09/2013 - 11:23	1706	Adele Taylor	Foot Worship	5 minutes	High Definition	Standard (14 days)	Completed	Uploaded	$102.40	$36.00	$138.00		
Thu, 26/09/2013 - 12:21	1665	Charlie Z	Foot Worship	5 minutes	Standard Definition	Premium (7 days)	Completed	Uploaded	$50.00	$18.00	$68.00		
Thu, 26/09/2013 - 10:29	1660	Candy Charms	Smoking	10 minutes	Standard Definition	Express (up to 3 days)	Completed	Uploaded	$560.00	$196.00	$756.00		
Thu, 26/09/2013 - 10:22	1659	Charlie Z	Femdom POV	5 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$45.00	$16.00	$61.00		
Thu, 26/09/2013 - 10:15	1658	Preeti & Priya Young	Small Penis Humiliation	15 minutes	Standard Definition	Express (up to 3 days)	Completed	Uploaded	$470.00	$165.00	$635.00		
Thu, 26/09/2013 - 05:12	1653	Randy Moore	Jerk Off Instruction	10 minutes	High Definition	Standard (14 days)	Completed	Uploaded	$135.00	$47.00	$182.00		
Wed, 25/09/2013 - 23:36	1642	Lilly Roma	Glamour / Implied Nude	5 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$110.59	$39.00	$149.00		
Wed, 25/09/2013 - 15:18	1629	Holly Mcguire	Small Penis Humiliation	5 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$60.00	$21.00	$81.00		
Wed, 25/09/2013 - 15:07	1627	Carla Brown	Upskirt	10 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$125.00	$44.00	$169.00		
Wed, 25/09/2013 - 15:01	1626	Holly Mcguire	Small Penis Humiliation	5 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$60.00	$21.00	$81.00		
Tue, 24/09/2013 - 23:16	1605	Sophia Smith	Glamour / Implied Nude	10 minutes	Standard Definition	Premium (up to 7 days)	Completed	Uploaded	$125.00	$44.00	$169.00		
Tue, 24/09/2013 - 21:57	1601	Danielle Anderson	Jerk Off Instruction	15 minutes	High Definition	Standard (14 days)	Completed	Uploaded	$215.87	$76.00	$291.00		
Tue, 24/09/2013 - 15:23	1589	Abbey Barnsley	Foot Worship	15 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$165.87	$58.00	$224.00		
Tue, 24/09/2013 - 14:01	1588	Jennifer Jade	Foot Worship	5 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$70.00	$25.00	$95.00		
Tue, 24/09/2013 - 11:38	1584	Danielle Anderson	Tease & Denial	15 minutes	High Definition	Standard (14 days)	Completed	Uploaded	$215.87	$76.00	$291.00		
Tue, 24/09/2013 - 05:42	1578	Sophia Lares	Jerk Off Instruction	5 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$77.40	$27.00	$104.00		
Tue, 24/09/2013 - 05:07	1576	Goddess Jessica	Foot Worship	10 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$100.00	$35.00	$135.00		
Tue, 24/09/2013 - 00:24	1574	Preeti & Priya Young	Jerk Off Instruction	5 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$140.00	$49.00	$189.00		
Tue, 24/09/2013 - 00:19	1572	Sophia Lares	Tit Worship	10 minutes	Standard Definition	Premium (7 days)	Completed	Uploaded	$157.70	$55.00	$213.00		
Sun, 22/09/2013 - 23:22	1537	Goddess Bossy	Foot Worship	5 minutes	Standard Definition	Standard (14 days)	Completed	Not Uploaded	$50.00	$18.00	$68.00		
Sun, 22/09/2013 - 11:40	1522	Kitty Lea	Femdom POV	5 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$75.00	$26.00	$101.00		
Sun, 22/09/2013 - 11:19	1521	Kitty Lea	Foot Worship	5 minutes	Standard Definition	Premium (7 days)	Completed	Uploaded	$100.00	$35.00	$135.00		
Sun, 22/09/2013 - 06:20	1517	Gemma Hiles	Foot Worship	5 minutes	High Definition	Standard (14 days)	Completed	Uploaded	$185.59	$65.00	$251.00		
Sun, 22/09/2013 - 05:01	1512	Bianca	Foot Worship	5 minutes	Standard Definition	Premium (7 days)	Completed	Not Uploaded	$55.00	$19.00	$74.00		
Sun, 22/09/2013 - 03:55	1511	Goddess Jessica	Jerk Off Instruction	15 minutes	High Definition	Standard (14 days)	Completed	Uploaded	$170.00	$60.00	$230.00		
Sat, 21/09/2013 - 21:55	1501	Goddess Jessica	Goddess Worship	Instagram (15 Seconds)	Instagram	Next Day (Up to 24 Hours)	Completed	Uploaded	$7.40	$3.00	$10.00		
Sat, 21/09/2013 - 21:32	1499	Goddess Jessica	Small Penis Humiliation	Instagram (15 Seconds)	Instagram	Next Day (Up to 24 Hours)	Completed	Uploaded	$7.40	$3.00	$10.00		
Sat, 21/09/2013 - 16:41	1486	Paige Green	Tease & Denial	15 minutes	Standard Definition	Standard (14 days)	Completed	Not Uploaded	$120.00	$42.00	$162.00		
Sat, 21/09/2013 - 14:30	1482	Jasmine Jones	Chastity	10 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$100.00	$35.00	$135.00		
Sat, 21/09/2013 - 07:20	1477	Evelyn Milano	Leg Fetish	10 minutes	High Definition	Standard (14 days)	Completed	Not Uploaded	$150.00	$53.00	$203.00		
Fri, 20/09/2013 - 21:51	1464	Ash Hollywood	Foot Slave Training	5 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$75.00	$26.00	$101.00		
Fri, 20/09/2013 - 13:24	1449	Mistress B	Humiliation	5 minutes	Standard Definition	Premium (up to 7 days)	Completed	Uploaded	$50.00	$18.00	$68.00		
Fri, 20/09/2013 - 12:46	1445	Emma Spellar	Glamour / Implied Nude	15 minutes	High Definition	Standard (14 days)	Completed	Uploaded	$371.16	$130.00	$501.00		
Fri, 20/09/2013 - 10:05	1441	Akara Fang	Small Penis Humiliation	Instagram (15 Seconds)	Instagram	Next Day (Up to 24 Hours)	Completed	Uploaded	$10.00	$4.00	$14.00		
Fri, 20/09/2013 - 09:53	1440	Dannii Harwood	Jerk Off Instruction	10 minutes	High Definition	Standard (14 days)	Completed	Not Uploaded	$325.00	$114.00	$439.00		
Wed, 18/09/2013 - 04:18	1413	Randy Moore	Goddess Worship	15 minutes	High Definition	Premium (7 days)	Completed	Uploaded	$170.00	$60.00	$230.00		
Tue, 17/09/2013 - 23:20	1408	Abbey Barnsley	Jerk Off Instruction	5 minutes	High Definition	Standard (14 days)	Completed	Uploaded	$102.40	$36.00	$138.00		
Tue, 17/09/2013 - 16:53	1398	Sophia Stone	Humiliation	5 minutes	High Definition	Express (up to 3 days)	Completed	Uploaded	$70.00	$25.00	$95.00		
Tue, 17/09/2013 - 13:20	1393	Goddess Jessica	Foot Worship	5 minutes	High Definition	Standard (14 days)	Completed	Uploaded	$50.00	$18.00	$68.00		
Tue, 17/09/2013 - 11:21	1390	Gemma Jane		5 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$110.59	$39.00	$149.00		
Tue, 17/09/2013 - 11:21	1390	Caty Cole	Glamour / Implied Nude	5 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$110.59	$39.00	$149.00		
Tue, 17/09/2013 - 11:21	1390	Danielle Anderson	Glamour / Implied Nude	5 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$77.40	$27.00	$104.00		
Tue, 17/09/2013 - 02:06	1387	Gemma Hiles	High Heels	5 minutes	High Definition		Completed	Uploaded	$205.59	$72.00	$278.00		
Mon, 16/09/2013 - 11:13	1364	Hannah Martin	Jerk Off Instruction	5 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$110.59	$39.00	$149.00		
Mon, 16/09/2013 - 23:32	1383	Michelle Moist	Jerk Off Instruction	5 minutes	Standard Definition	Premium (7 days)	Completed	Uploaded	$40.00	$14.00	$54.00		
Mon, 16/09/2013 - 12:06	1366	Jeana B	Glamour / Implied Nude	10 minutes	High Definition	Premium (7 days)	Completed	Uploaded	$150.00	$53.00	$203.00		
Mon, 16/09/2013 - 11:13	1363	Danielle Anderson	Glamour / Implied Nude	5 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$77.40	$27.00	$104.00		
Mon, 16/09/2013 - 06:38	1359	Michelle Moist	Goddess Worship	10 minutes	Standard Definition	Next Day (up to 24 hours)	Completed	Uploaded	$90.00	$32.00	$122.00		
Sun, 15/09/2013 - 21:24	1347	Princess Ellie	Financial Domination	5 minutes	High Definition	Standard (14 days)	Completed	Uploaded	$50.00	$18.00	$68.00		
Sun, 15/09/2013 - 19:23	1345	Hollie Sparrow	Glamour / Implied Nude	5 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$77.40	$27.00	$104.00		
Sun, 15/09/2013 - 18:43	1343	Alexis Amore	Masturbation	10 minutes	Standard Definition	Express (up to 3 days)	Completed	Not Uploaded	$300.00	$105.00	$405.00		
Sun, 15/09/2013 - 12:41	1337	Frankie Babe	Jerk Off Instruction	5 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$60.00	$21.00	$81.00		
Sun, 15/09/2013 - 12:01	1336	Natalia Forrest	Glamour / Implied Nude	5 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$85.00	$30.00	$115.00		
Sun, 15/09/2013 - 12:01	1336	Sophia Smith	Glamour / Implied Nude	5 minutes	Standard Definition	Premium (up to 7 days)	Completed	Uploaded	$95.00	$33.00	$128.00		
Sun, 15/09/2013 - 06:46	1330	Brook Logan	Jerk Off Instruction	5 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$65.00	$23.00	$88.00		
Sat, 14/09/2013 - 23:23	1316	Becky Dee	Ass Worship	10 minutes	Standard Definition	Express (up to 3 days)	Completed	Uploaded	$75.00	$26.00	$101.00		
Sat, 14/09/2013 - 22:05	1305	Akara Fang					Completed	Uploaded	$10.00	$4.00	$14.00		
Sat, 14/09/2013 - 04:28	1272	Randy Moore	Femdom POV	10 minutes	High Definition	Standard (14 days)	Completed	Uploaded	$135.00	$47.00	$182.00		
Sat, 14/09/2013 - 16:06	1293	Jeana B	Goddess Worship	5 minutes	High Definition	Standard (14 days)	Completed	Not Uploaded	$70.00	$25.00	$95.00		
Sat, 14/09/2013 - 08:11	1273	Mistress B	Scent	5 minutes	Standard Definition	Next Day (up to 24 hours)	Completed	Uploaded	$75.00	$26.00	$101.00		
Fri, 13/09/2013 - 16:15	1251	Ruby Summers	Jerk Off Instruction	5 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$60.00	$21.00	$81.00		
Fri, 13/09/2013 - 14:38	1249	Courtney Cummz	Financial Domination	Instagram (15 Seconds)	Instagram	Next Day (Up to 24 Hours)	Completed	Not Uploaded	$18.51	$6.00	$25.00		
Fri, 13/09/2013 - 06:42	1244	Monique Stranger	Rip Off	5 minutes	Standard Definition	Standard (14 days)	Completed	Not Uploaded	$85.00	$30.00	$115.00		
Fri, 13/09/2013 - 06:07	1242	Goddess Bossy	Ass Worship	Instagram (15 Seconds)	Instagram	Next Day (Up to 24 Hours)	Completed	Uploaded	$10.00	$4.00	$14.00		
Fri, 13/09/2013 - 00:36	1239	Goddess Jessica	Goddess Worship	10 minutes	High Definition	Standard (14 days)	Completed	Uploaded	$100.00	$35.00	$135.00		
Thu, 12/09/2013 - 23:21	1233	Hollie Sparrow	Foot Worship	15 minutes	Standard Definition	Premium (7 days)	Completed	Uploaded	$185.87	$65.00	$251.00		
Wed, 11/09/2013 - 20:58	1179	Goddess Jessica	Financial Domination	10 minutes	High Definition	Standard (14 days)	Completed	Uploaded	$100.00	$35.00	$135.00		
Wed, 11/09/2013 - 02:57	1160	Danielle Anderson	Jerk Off Instruction	5 minutes	High Definition	Standard (14 days)	Completed	Uploaded	$127.40	$45.00	$172.00		
Wed, 11/09/2013 - 16:11	1169	Goddess Jessica	Chastity	5 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$50.00	$18.00	$68.00		
Wed, 11/09/2013 - 08:03	1163	Holly Mcguire	Jerk Off Instruction	10 minutes	Standard Definition	Premium (7 days)	Completed	Uploaded	$90.00	$32.00	$122.00		
Wed, 11/09/2013 - 03:02	1161	Charley Atwell	High Heels	10 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$125.00	$44.00	$169.00		
Tue, 10/09/2013 - 23:32	1155	Princess Ellie	Jerk Off Instruction	10 minutes	High Definition	Standard (14 days)	Completed	Uploaded	$100.00	$35.00	$135.00		
Tue, 10/09/2013 - 23:20	1153	Dannii Harwood	Rip Off	5 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$150.00	$53.00	$203.00		
Tue, 10/09/2013 - 10:50	1140	Becky Dee	Ass Worship	5 minutes	Standard Definition	Standard (14 days)	Completed	Not Uploaded	$45.00	$16.00	$61.00		
Tue, 10/09/2013 - 10:47	1139	Becky Dee	Ass Worship	5 minutes	Standard Definition	Standard (14 days)	Completed	Not Uploaded	$45.00	$16.00	$61.00		
Sun, 08/09/2013 - 20:19	1091	Mikaela Witt	Foot Worship	15 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$225.00	$79.00	$304.00		
Sun, 08/09/2013 - 19:14	1089	Goddess Jessica	Foot Slave Training	5 minutes	High Definition	Standard (14 days)	Completed	Uploaded	$50.00	$18.00	$68.00		
Sun, 08/09/2013 - 13:57	1084	Brook Logan	Ass Worship	5 minutes	High Definition	Standard (14 days)	Completed	Uploaded	$115.00	$40.00	$155.00		
Sun, 08/09/2013 - 02:24	1076	Jasmine Jones	Chastity	Instagram (15 Seconds)	Instagram	Next Day (Up to 24 Hours)	Completed	Uploaded	$11.10	$4.00	$15.00		
